Miami,1.125,0.454,25,80
Phoenix,0.905,1.63,33,112
Charlotte,0.879,0.842,35,80
Atlanta,0.837,0.486,33,84
Las Vegas,0.788,0.648,36,115
Los Angeles,0.735,4.03,33,118
Portland,0.669,0.64,45,122
Washington D.C.,0.613,0.702,38,77
Denver,0.475,0.705,39,104
San Jose,0.394,1.03,37,121
Chicago,0.38,2.7,41,87
San Diego,0.326,1.41,32,117
New York City,0.304,8.54,40,73
San Francisco,0.261,0.884,37,122
