Pataha,46.4732,-117.5366,,0,0
Laurel,45.944,-121.3801,,0,0
Woods Creek,47.8821,-121.8982,,0,0
McKenna,46.9365,-122.55,,0,0
Revere,47.0813,-117.9302,,0,0
Kalama,46.0171,-122.8393,3794,0,3794
Grandview,46.2431,-119.9084,18858,0,18858
Winthrop,48.4716,-120.179,439,0,439
Maltby,47.8027,-122.1044,,0,0
Spangle,47.4299,-117.3812,307,0,307
Blanchard,48.5934,-122.4166,,0,0
Artondale,47.3023,-122.6398,,0,0
May Creek,47.8555,-121.6744,,0,0
Home,47.279,-122.7744,,0,0
Vashon,47.4122,-122.4726,,0,0
Snoqualmie Falls,47.5398,-121.8098,,0,0
Laurier,48.9974,-118.2248,,0,0
Quincy,47.2345,-119.852,7756,0,7756
Lake McMurray,48.3129,-122.2317,,0,0
Martha Lake,47.848,-122.2326,,0,0
Ariel,45.9568,-122.5709,,0,0
Loon Lake,48.0685,-117.6298,,0,0
Thornton,47.1207,-117.3896,,0,0
Starbuck,46.5183,-118.1247,131,0,131
Ronald,47.2338,-121.0335,,0,0
Kelso,46.1248,-122.8908,12130,0,12130
Meadowdale,47.8583,-122.3156,,0,0
Cottage Lake,47.7466,-122.0755,,0,0
Cheney,47.4902,-117.5789,12421,0,12421
Woodway,47.7903,-122.3851,1378,0,1378
Lacey,47.045,-122.7931,49748,0,49748
Harrah,46.407,-120.5423,636,0,636
Allyn,47.3863,-122.8386,,0,0
South Bend,46.668,-123.8008,1651,0,1651
Barstow,48.7783,-118.1329,,0,0
Tiger,48.6916,-117.4077,,0,0
Warden,46.9681,-119.0515,2716,0,2716
Junction City,46.9713,-123.7651,,0,0
Blyn,48.0131,-122.9897,,0,0
Lakebay,47.257,-122.7585,,0,0
Tahuya,47.3712,-123.0557,,0,0
Waukon,47.5396,-117.8433,,0,0
Kitsap Lake,47.5829,-122.7085,,0,0
Sultan,47.8702,-121.8041,8803,0,8803
Plain,47.7626,-120.6573,,0,0
Tanner,47.4813,-121.6922,,0,0
Stehekin,48.3093,-120.6565,,0,0
Edmonds,47.8114,-122.3533,42209,0,42209
North Hill,47.4193,-122.3235,,0,0
Zillah,46.4083,-120.2718,3125,0,3125
Monse,48.1413,-119.6778,,0,0
Lake Forest Park,47.7596,-122.2879,13392,0,13392
Chinook,46.2755,-123.9425,,0,0
Albion,46.7916,-117.2511,608,0,608
Skykomish,47.7103,-121.3584,216,0,216
Yakima,46.5923,-120.5496,133233,0,133233
Pacific,47.261,-122.2507,7184,0,7184
Wishram,45.6599,-120.9698,,0,0
